"Month","Text_General_Code","x1","Year","Unemployment","Child_mortality","hospital_ambulization_rate","Cancer_mortality","Days_good_air_quality","Homicide_mortality_rate","Suicide_mortality_rate","Theft","All_Other_Offenses","Other_Assaults","Vandalism","Narcotic","Burglary","Fraud","Retrieving","Robbery","Aggravated_Assault","Driving_Under_The_Influcence","Disorderly_Conduct","Weapon_Violations","Other_Sex_Offenses","Prostitution","Rape","Drinking_Violation","Vagrancy_Loitering","Arson","Forgery_Counterfeiting","Embezzlement","Homicide","Offenses_Against_Family_Children","Gambling_Violations","Receiving_Stolen_Property","Temperature_Max","Temperature_Min","Temperature_Avg","Temperature_Departure","HDD","CDD","Precipitation","New_Snow","Snow_Depth"
"2006-01-01T00:00:00","All Other Offenses",4252,2006,0.062,87.5,1608.9,228.1,154,24.4,9.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.12903226,32.35483871,40.74193548,7.793548387,23.96774194,0.0,0.14,0.012903226,0.0
"2006-01-01T00:00:00","Arson",44,2006,0.062,87.5,1608.9,228.1,154,24.4,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,49.12903226,32.35483871,40.74193548,7.793548387,23.96774194,0.0,0.14,0.012903226,0.0
"2006-01-01T00:00:00","DRIVING UNDER THE INFLUENCE",425,2006,0.062,87.5,1608.9,228.1,154,24.4,9.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.12903226,32.35483871,40.74193548,7.793548387,23.96774194,0.0,0.14,0.012903226,0.0
"2006-01-01T00:00:00","Disorderly Conduct",381,2006,0.062,87.5,1608.9,228.1,154,24.4,9.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49.12903226,32.35483871,40.74193548,7.793548387,23.96774194,0.0,0.14,0.012903226,0.0
"2006-01-01T00:00:00","Embezzlement",40,2006,0.062,87.5,1608.9,228.1,154,24.4,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,49.12903226,32.35483871,40.74193548,7.793548387,23.96774194,0.0,0.14,0.012903226,0.0
"2006-01-01T00:00:00","Forgery and Counterfeiting",68,2006,0.062,87.5,1608.9,228.1,154,24.4,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,49.12903226,32.35483871,40.74193548,7.793548387,23.96774194,0.0,0.14,0.012903226,0.0
"2006-01-01T00:00:00","Fraud",777,2006,0.062,87.5,1608.9,228.1,154,24.4,9.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.12903226,32.35483871,40.74193548,7.793548387,23.96774194,0.0,0.14,0.012903226,0.0
"2006-01-01T00:00:00","Gambling Violations",9,2006,0.062,87.5,1608.9,228.1,154,24.4,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49.12903226,32.35483871,40.74193548,7.793548387,23.96774194,0.0,0.14,0.012903226,0.0
"2006-01-01T00:00:00","Narcotic / Drug Law Violations",1195,2006,0.062,87.5,1608.9,228.1,154,24.4,9.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.12903226,32.35483871,40.74193548,7.793548387,23.96774194,0.0,0.14,0.012903226,0.0
"2006-01-01T00:00:00","Offenses Against Family and Children",20,2006,0.062,87.5,1608.9,228.1,154,24.4,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,49.12903226,32.35483871,40.74193548,7.793548387,23.96774194,0.0,0.14,0.012903226,0.0
"2006-01-01T00:00:00","Other Assaults",2160,2006,0.062,87.5,1608.9,228.1,154,24.4,9.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.12903226,32.35483871,40.74193548,7.793548387,23.96774194,0.0,0.14,0.012903226,0.0
"2006-01-01T00:00:00","Other Sex Offenses (Not Commercialized)",153,2006,0.062,87.5,1608.9,228.1,154,24.4,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49.12903226,32.35483871,40.74193548,7.793548387,23.96774194,0.0,0.14,0.012903226,0.0
"2006-01-01T00:00:00","Prostitution and Commercialized Vice",98,2006,0.062,87.5,1608.9,228.1,154,24.4,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,49.12903226,32.35483871,40.74193548,7.793548387,23.96774194,0.0,0.14,0.012903226,0.0
"2006-01-01T00:00:00","Rape",96,2006,0.062,87.5,1608.9,228.1,154,24.4,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,49.12903226,32.35483871,40.74193548,7.793548387,23.96774194,0.0,0.14,0.012903226,0.0
